1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
-102558.078,-123693.3397,-144871.4587,-159749.1637,-160627.8264,-156807.1546,-137140.5677,-137443.7588,-110847.8421,-212706.3525,-292211.1004,-381078.1068,-522641.4267,-554984.1567,-438599.9713,-481652.9551,-401434.567,-714816.8566,-962972.211,-773951.5464,-678140.8442,-629775.4658,-518100.5818,-602519.6511,-565754.1491,-628076.1987,-592315.6138,-586326.0922
-97543.4572,-112487.9427,-134247.5517,-158836.0403,-142856.3947,-150138.8052,-133194.8301,-116135.7583,-110656.3523,-190772.3361,-290660.9138,-405552.9824,-471528.3627,-609928.7948,-577044.9226,-439951.7214,-503219.4494,-398884.9295,-719156.3097,-896956.3574,-660968.5174,-639170.9067,-584907.5115,-478750.2693,-609320.8701,-579896.7223,-633880.1244,-601505.5825
-92566.4978,-110674.1594,-120764.5413,-146562.2384,-138857.8225,-132128.4071,-128061.8796,-113514.6257,-94793.59064,-194055.7377,-262907.4115,-400658.0073,-495429.4108,-567111.5769,-632900.2996,-573931.7903,-606708.8633,-458852.6674,-523701.1918,-382897.5945,-763312.0431,-723448.9478,-592376.4259,-534443.7517,-493393.8116,-624868.6488,-590523.3043,-641925.7282
-94769.5966,-102094.8535,-120327.6274,-133636.2056,-129824.0114,-132090.0484,-112793.9704,-110727.7892,-95201.27844,-168492.1107,-270614.9497,-368132.1858,-505232.9793,-596935.1304,-591876.037,-652487.1677,-463528.2153,-512958.6299,-411176.4037,-664552.2337,-568124.8772,-621753.4449,-572449.4804,-546250.8795,-545350.5409,-496372.4844,-643496.0071,-604898.301
-93624.1922,-103163.0939,-106997.9202,-128477.6512,-114311.0324,-120496.6496,-111554.3803,-94586.73406,-88134.68991,-161378.0738,-226286.0311,-362228.1588,-451636.6895,-588829.5588,-611512.9416,-596137.0575,-686091.3314,-617511.3862,-481486.1055,-487507.2165,-317779.568,-533885.7835,-663995.3439,-526252.728,-552625.5979,-562421.5209,-516213.5836,-650290.534
-90632.3502,-107725.3708,-121515.7267,-131857.3937,-128454.1302,-114586.3883,-109660.0771,-104114.7018,-88715.33617,-171607.9918,-230966.782,-334146.4594,-483892.7577,-575279.0231,-639233.7583,-650956.7594,-631928.9726,-699647.2926,-635165.1155,-458977.3196,-398945.3264,-293474.8677,-483088.2006,-604355.0979,-515218.9827,-550465.834,-558261.7334,-503847.9369
-87636.99,-99735.82255,-111750.3172,-123651.1417,-112589.425,-107701.0097,-93885.85648,-88847.35746,-78621.97457,-142638.1148,-218448.6539,-314630.9665,-392918.7464,-550281.6877,-565873.8472,-632395.7768,-650574.4603,-630087.5587,-705657.7249,-586632.9897,-363338.9456,-376192.2043,-271508.322,-449876.2258,-611968.8794,-539374.1234,-566398.2495,-568719.0534
-90483.5568,-93003.68234,-111696.6611,-125939.8796,-111885.9725,-101861.4092,-94278.68433,-83379.13251,-73840.90855,-135914.959,-189703.5239,-301942.6757,-388133.3634,-478445.2859,-573193.9251,-586043.5368,-658923.1861,-673571.2739,-649212.4232,-643068.0412,-470281.1647,-345883.3236,-345105.1738,-247319.6058,-468697.6409,-624856.6074,-551775.28,-564624.3932
-89161.5662,-101160.1431,-102368.1656,-123034.4869,-115236.6278,-100037.3542,-87652.98791,-79778.84115,-66811.38254,-127795.7992,-184279.378,-264113.9645,-379571.4079,-463997.5686,-492800.3741,-589063.7019,-601838.7732,-670800.2528,-680892.0287,-602390.378,-519361.034,-438058.5293,-320130.0689,-317422.7152,-251951.1137,-461379.9364,-634961.2,-550146.8447
-89157.215,-99413.12492,-114410.1266,-112658.0844,-107739.3051,-104884.6769,-85749.9552,-75681.43843,-64470.26623,-117588.2172,-170477.6022,-259326.3353,-336114.9566,-458923.852,-479910.6717,-499362.6481,-608622.113,-611329.8777,-693000.5153,-636022.3368,-476788.2686,-488063.5004,-408015.2787,-285891.3831,-323781.8494,-256060.6191,-465488.38,-642656.9175
-86282.728,-100358.9628,-111918.9507,-127493.3753,-98224.1843,-99778.93795,-89730.61077,-76404.5095,-62197.09789,-115801.332,-157709.2161,-234207.3841,-325819.9164,-400142.9892,-472399.6352,-500575.0184,-514038.0066,-632432.2689,-638896.4316,-633662.1993,-498377.9424,-446548.7616,-448311.9906,-367418.0941,-292089.3594,-318992.4168,-259059.8453,-467376.2136
-86264.6764,-95729.92094,-111022.1274,-121765.6011,-111423.1748,-89404.94057,-85007.94704,-76103.22989,-60319.26317,-106308.5041,-152426.7627,-219973.3117,-296874.8159,-387551.5096,-406455.2814,-480715.58,-509133.1302,-525925.5875,-634250.5772,-563552.2337,-501988.9941,-468585.9087,-415867.9713,-404729.7138,-374289.142,-294722.8089,-322786.4051,-258373.0583
-84483.2912,-93259.61495,-105219.6039,-120923.6302,-107146.924,-99535.66332,-76933.15232,-71689.48358,-61029.62828,-106710.5533,-138498.178,-210784.4988,-269895.6024,-354262.9789,-393597.4054,-412203.5068,-496923.1186,-520596.7008,-532809.9929,-570875.6014,-455457.0304,-473517.7348,-424871.9985,-382923.5102,-409883.9613,-379208.8602,-300567.4572,-326198.1796
-76899.767,-101071.1231,-106070.4362,-119820.7668,-107591.2098,-96187.35649,-87792.66003,-67833.10455,-60232.78394,-109067.0082,-139255.546,-195670.1896,-264670.4815,-325955.3529,-367563.3893,-406000.5708,-428637.4986,-493881.2157,-529883.4704,-486500.6873,-457552.5039,-422420.2706,-427676.5315,-388539.4295,-376491.1707,-419371.7197,-387963.8821,-303999.2718
-74821.0204,-86037.86455,-109259.1414,-114081.1339,-101537.8158,-95360.62652,-83995.32414,-74461.256,-52795.57013,-102008.8115,-140125.1847,-189336.7788,-242812.9212,-310115.4572,-326061.7303,-370420.9702,-426376.3854,-428549.0652,-501240.132,-491290.378,-387766.5434,-425947.4627,-391217.6017,-393689.6384,-398316.3419,-383918.585,-426285.166,-393730.8252
-75763.261,-85670.6569,-101019.0981,-126876.7205,-103000.2566,-96083.38434,-87460.93874,-75583.52256,-63383.09876,-99373.15574,-143515.9137,-203356.1593,-261540.5823,-311878.8831,-337837.5078,-360597.6622,-396981.9132,-436364.7657,-449806.5,-470708.5911,-385395.1732,-357526.1789,-391424.2515,-355090.4664,-402692.5256,-401711.3805,-386541.4142,-419819.6602
-68271.4942,-84902.85909,-87467.10131,-105863.0231,-103185.3757,-87782.77322,-79831.34891,-70250.87343,-57181.30253,-101897.1311,-118918.7394,-193609.1475,-240122.7599,-287098.1088,-302701.1339,-330682.9634,-343828.3587,-382507.4845,-409713.1425,-402229.8969,-368724.2375,-360928.5146,-331997.6719,-356158.8608,-354220.0191,-398603.1728,-408191.3749,-391069.2961
-69189.2936,-76891.05587,-96067.40695,-98083.6859,-92374.42134,-92999.55035,-78661.59486,-66688.24202,-56718.02094,-100300.1025,-135206.2805,-170465.3616,-238958.7478,-296379.2977,-292580.3306,-309427.0275,-340662.8002,-352061.7787,-380777.1518,-391782.8179,-319134.9399,-347693.7408,-325178.2284,-309286.4809,-359265.1736,-360487.3653,-403326.5349,-408413.1068
